"","lemma","n"
"1073","1-9-9-7",1
"1074","1-9-9-8",2
"1075","1-9-9-9",1
"1076","1-9-9-chut",1
"1077","1 000",5
"1078","1 200",1
"1079","1 8",1
"1080","1,2",3
"1081","1,20",1
"1082","1,9,7,",1
"1083","1.0",2
"1084","1.1.3",4
"1085","1.1.4.3",1
"1086","1.2",1
"1087","1.3",5
"1088","1.3.5",3
"1089","1.300.000",1
"1090","1.5",1
"1091","1.500.000",1
"1092","1.6",2
"1093","1.6.3.0",2
"1094","1.6.6.4",1
"1095","1.8",1
"1096","1.8.3",1
"1097","1.8.7",2
"1098","1.9.9.5",3
"1099","1.9.9.9",3
"1100","1.9.9.L.",1
"1101","1:0",1
"1102","10",217
"1103","10-15",2
"1104","10-4",2
"1105","10 000",16
"1106","10.000",4
"1107","10.98",1
"1108","100",123
"1109","100's",1
"1110","100-8",4
"1111","100 000",5
"1112","100 000 000",1
"1113","100.000",1
"1114","100í",1
"1115","1000",31
"1116","10000",2
"1117","100000",1
"1118","1000e",2
"1119","1001",1
"1120","100e",1
"1121","100g",3
"1122","100k",1
"1123","100K",1
"1124","102",1
"1125","103",2
"1126","104",1
"1127","108",1
"1128","1080",2
"1129","1080p",2
"1130","10e",1
"1131","10Embed",1
"1132","10g",1
"1133","10G",2
"1134","10k",1
"1135","10K",1
"1136","10keu",4
"1137","11",48
"1138","11'43",2
"1139","11-09-01",1
"1140","11 000",1
"1141","11.100",1
"1142","11.43",18
"1143","110",1
"1144","112",1
"1145","113",101
"1146","114",1
"1147","115",1
"1148","11667",1
"1149","1174061",1
"1150","118",1
"1151","11an",1
"1152","11Ëme",2
"1153","11H11",1
"1154","11th",1
"1155","12",83
"1156","12-13",1
"1157","12.12",1
"1158","120",9
"1159","1200",4
"1160","122",2
"1161","1245B",1
"1162","125",1
"1163","126",2
"1164","127",1
"1165","12h",1
"1166","12m2",1
"1167","13",71
"1168","13-2Oh",1
"1169","130",4
"1170","1300",1
"1171","132",2
"1172","133",1
"1173","135e",1
"1174","139",1
"1175","13e",1
"1176","13h",2
"1177","14",28
"1178","140",1
"1179","14000",1
"1180","1408",2
"1181","143",2
"1182","147",1
"1183","148",1
"1184","14h",1
"1185","15",60
"1186","15 000",4
"1187","15 000e",1
"1188","15.6",1
"1189","150",2
"1190","1500",1
"1191","15000",1
"1192","152Ëme",2
"1193","15Ëme",2
"1194","15h",1
"1195","15th",1
"1196","16",125
"1197","16.64",1
"1198","16.8.78",1
"1199","16:9",1
"1200","160",1
"1201","162",1
"1202","1664",1
"1203","16Ëme",8
"1204","16h",1
"1205","17",43
"1206","17-08-75",1
"1207","170",1
"1208","172",1
"1209","1767260",2
"1210","18",61
"1211","180",4
"1212","180k",1
"1213","183",2
"1214","187",4
"1215","18e",1
"1216","18Ëme",12
"1217","18h",1
"1218","18H",1
"1219","18k",2
"1220","19",43
"1221","19-4-75",1
"1222","19..213..",1
"1223","190K",1
"1224","1944",1
"1225","1950",1
"1226","1970",1
"1227","1975",1
"1228","1983",1
"1229","1985",6
"1230","1989",1
"1231","1990",1
"1232","1992",11
"1233","1994",4
"1234","1995",6
"1235","1996",3
"1236","1996-2006",1
"1237","1997",8
"1238","1998",3
"1239","1999",8
"1240","19Ëm",2
"1241","19Ëme",4
"1242","19Íme",1
"1243","19Ëme4",1
"1244","19h",2
"1245","19H00-6H00",1
"1246","1e",1
"1247","1Embed",2
"1248","1er",15
"1249","1ere",1
"1250","1h",1
"1251","1so",1
"1252","1solent",1
"1253","1st",1
"1254","2",454
"1255","2-0",1
"1256","2-0-0-2",4
"1257","2-0-0-5",2
"1258","2-0-1-6",2
"1259","2-1",7
"1260","2-20",2
"1261","2-25",1
"1262","2-3",26
"1263","2-4",1
"1264","2-4-6",1
"1265","2-4-7",2
"1266","2-60",5
"1267","2-7",3
"1268","2-7-3-478",1
"1269","2-7-zer",1
"1270","2-Sour",1
"1271","2-zer",1
"1272","2 000",2
"1273","2!",1
"1274","2,3",3
"1275","2,3,4,5,6",1
"1276","2,4,6",1
"1277","2,7",8
"1278","2,7,0",2
"1279","2.0",9
"1280","2.0.0.1",1
"1281","2.0.0.3",2
"1282","2.0.0.5",1
"1283","2.0.0.7",1
"1284","2.0.13",1
"1285","2.0.15",1
"1286","2.0.2.1",1
"1287","2.0.31",1
"1288","2.0.93",5
"1289","2.000",1
"1290","2.10",1
"1291","2.2.1",1
"1292","2.2.2.7",1
"1293","2.20",2
"1294","2.4",1
"1295","2.4.3",1
"1296","2.7",105
"1297","2.7 2.7",2
"1298","2.7.0",12
"1299","2.7.0.",2
"1300","2.7.0.93",12
"1301","2.7.2.7",2
"1302","2.7.Z.E.R.",2
"1303","2.7.Z.E.R.O",5
"1304","2.7.Z.E.R.O.",6
"1305","2.716",1
"1306","2.727",1
"1307","2.741",1
"1308","2.75",1
"1309","20",153
"1310","20-1",3
"1311","20-13",1
"1312","20-20",2
"1313","20-21",1
"1314","20 000",6
"1315","20 000E",1
"1316","200",46
"1317","200 000",1
"1318","2000",48
"1319","2000-2011",1
"1320","2001",13
"1321","2002",18
"1322","2003",14
"1323","2004",3
"1324","2005",19
"1325","2006",19
"1326","2007",24
"1327","2008",15
"1328","2008-2009",1
"1329","2009",8
"1330","200g",2
"1331","200m",1
"1332","2010",19
"1333","2011",9
"1334","2012",10
"1335","2013",10
